Shift (m), Intensity (a.u.)
-1.311549746599093162e-06,1.864131047725510007e-08
-1.311149639903974524e-06,1.864021974210975895e-08
-1.310749533208855674e-06,1.863898459417360188e-08
-1.310349426513737036e-06,1.863754068670227627e-08
-1.309949319818618398e-06,1.863604517247123410e-08
-1.309549213123499549e-06,1.863449084714024978e-08
-1.309149106428380911e-06,1.863290522728040507e-08
-1.308748999733262273e-06,1.863154310930005709e-08
-1.308348893038143635e-06,1.863011311481051341e-08
-1.307948786343024785e-06,1.862871364878172157e-08
-1.307548679647906147e-06,1.862763955088162550e-08
-1.307148572952787509e-06,1.862665983893172806e-08
-1.306748466257668659e-06,1.862578095282175095e-08
-1.306348359562550021e-06,1.862499801520235448e-08
-1.305948252867431383e-06,1.862440413392759697e-08
-1.305548146172312745e-06,1.862400666950456962e-08
-1.305148039477193895e-06,1.862399860440185628e-08
-1.304747932782075257e-06,1.862412616523298582e-08
-1.304347826086956619e-06,1.862438560039085512e-08
-1.303947719391837769e-06,1.862468160248826923e-08
-1.303547612696719131e-06,1.862481852057919789e-08
-1.303147506001600493e-06,1.862496031003107893e-08
-1.302747399306481855e-06,1.862517160033215748e-08
-1.302347292611363006e-06,1.862523068135701537e-08
-1.301947185916244368e-06,1.862524348625525878e-08
-1.301547079221125730e-06,1.862524113741766600e-08
-1.301146972526006880e-06,1.862533758283960030e-08
-1.300746865830888242e-06,1.862550379105398027e-08
-1.300346759135769604e-06,1.862569663252124442e-08
-1.299946652440650966e-06,1.862583280806671543e-08
-1.299546545745532116e-06,1.862607428844050797e-08
-1.299146439050413478e-06,1.862630449203668951e-08
-1.298746332355294840e-06,1.862675903974597011e-08
-1.298346225660175990e-06,1.862708337868727007e-08
-1.297946118965057352e-06,1.862732044005999462e-08
-1.297546012269938714e-06,1.862773780905324257e-08
-1.297145905574820076e-06,1.862821903277502679e-08
-1.296745798879701227e-06,1.862871480909933018e-08
-1.296345692184582589e-06,1.862916419322449774e-08
-1.295945585489463951e-06,1.862955124545161385e-08
-1.295545478794345101e-06,1.862995691886230528e-08
-1.295145372099226463e-06,1.863032025216592850e-08
-1.294745265404107825e-06,1.863076673684974480e-08
-1.294345158708989187e-06,1.863137017343914658e-08
-1.293945052013870337e-06,1.863200515020396140e-08
-1.293544945318751699e-06,1.863272805118972294e-08
-1.293144838623633061e-06,1.863345442701698745e-08
-1.292744731928514211e-06,1.863404299930666427e-08
-1.292344625233395573e-06,1.863462778986999044e-08
-1.291944518538276935e-06,1.863519067631685690e-08
-1.291544411843158297e-06,1.863585104218531894e-08
-1.291144305148039447e-06,1.863649824088145847e-08
-1.290744198452920809e-06,1.863718756165714481e-08
-1.290344091757802171e-06,1.863789511868375268e-08
-1.289943985062683322e-06,1.863856286672851636e-08
-1.289543878367564684e-06,1.863917378600973034e-08
-1.289143771672446046e-06,1.863964508107787408e-08
-1.288743664977327408e-06,1.864013442119218860e-08
-1.288343558282208558e-06,1.864060587119516867e-08
-1.287943451587089920e-06,1.864107567894126930e-08
-1.287543344891971282e-06,1.864171118039164026e-08
-1.287143238196852432e-06,1.864269942859241476e-08
-1.286743131501733794e-06,1.864390176582479462e-08
-1.286343024806615156e-06,1.864517029000932138e-08
-1.285942918111496518e-06,1.864656504866340448e-08
-1.285542811416377668e-06,1.864815248436616724e-08
-1.285142704721259030e-06,1.864994515796911076e-08
-1.284742598026140392e-06,1.865168542200221632e-08
-1.284342491331021543e-06,1.865358600622616517e-08
-1.283942384635902905e-06,1.865551949233933389e-08
-1.283542277940784267e-06,1.865734673333274089e-08
-1.283142171245665629e-06,1.865920645751495141e-08
-1.282742064550546779e-06,1.866117160889608852e-08
-1.282341957855428141e-06,1.866317411949162837e-08
-1.281941851160309503e-06,1.866522331747366974e-08
-1.281541744465190653e-06,1.866718293140047227e-08
-1.281141637770072015e-06,1.866916294309825456e-08
-1.280741531074953377e-06,1.867126847693764547e-08
-1.280341424379834739e-06,1.867324306805164199e-08
-1.279941317684715889e-06,1.867488533998360625e-08
-1.279541210989597251e-06,1.867655936302326399e-08
-1.279141104294478613e-06,1.867833034787873385e-08
-1.278740997599359764e-06,1.868021670580803587e-08
-1.278340890904241126e-06,1.868216348909599827e-08
