Shift (m), Intensity (a.u.)
-1.467991464390504127e-06,2.082090146887258970e-08
-1.467591357695385489e-06,2.082361710573634246e-08
-1.467191251000266851e-06,2.082623270067991308e-08
-1.466791144305148001e-06,2.082870011203675454e-08
-1.466391037610029363e-06,2.083115503012951730e-08
-1.465990930914910725e-06,2.083327917497908514e-08
-1.465590824219792087e-06,2.083517502239000288e-08
-1.465190717524673238e-06,2.083687143001603054e-08
-1.464790610829554600e-06,2.083843143898864160e-08
-1.464390504134435962e-06,2.083954382820936706e-08
-1.463990397439317112e-06,2.084020793911113929e-08
-1.463590290744198474e-06,2.084058936199756832e-08
-1.463190184049079836e-06,2.084092990922863270e-08
-1.462790077353961198e-06,2.084138448654833887e-08
-1.462389970658842348e-06,2.084174196657438527e-08
-1.461989863963723710e-06,2.084198851474204291e-08
-1.461589757268605072e-06,2.084217719505247975e-08
-1.461189650573486222e-06,2.084232819353053210e-08
-1.460789543878367584e-06,2.084237788257673938e-08
-1.460389437183248946e-06,2.084251929826515151e-08
-1.459989330488130308e-06,2.084254700043392699e-08
-1.459589223793011459e-06,2.084239107278912237e-08
-1.459189117097892821e-06,2.084206960188186035e-08
-1.458789010402774183e-06,2.084151618122670611e-08
-1.458388903707655333e-06,2.084073418181333155e-08
-1.457988797012536695e-06,2.083974711885641300e-08
-1.457588690317418057e-06,2.083852138715686475e-08
-1.457188583622299419e-06,2.083700274292376760e-08
-1.456788476927180569e-06,2.083556407987240650e-08
-1.456388370232061931e-06,2.083389053040398259e-08
-1.455988263536943293e-06,2.083202255596072034e-08
-1.455588156841824443e-06,2.082987149109189244e-08
-1.455188050146705805e-06,2.082782233937672957e-08
-1.454787943451587167e-06,2.082546872507516803e-08
-1.454387836756468529e-06,2.082275091954421877e-08
-1.453987730061349679e-06,2.081990225938394708e-08
-1.453587623366231041e-06,2.081692003769049589e-08
-1.453187516671112403e-06,2.081370292197113457e-08
-1.452787409975993554e-06,2.081047952014794396e-08
-1.452387303280874916e-06,2.080734550434362293e-08
-1.451987196585756278e-06,2.080424543417520624e-08
-1.451587089890637640e-06,2.080103704118463183e-08
-1.451186983195518790e-06,2.079784694683495423e-08
-1.450786876500400152e-06,2.079465902269717005e-08
-1.450386769805281514e-06,2.079122362033182731e-08
-1.449986663110162664e-06,2.078750634492018913e-08
-1.449586556415044026e-06,2.078377446081117228e-08
-1.449186449719925388e-06,2.077989623600645552e-08
-1.448786343024806750e-06,2.077571870640367319e-08
-1.448386236329687900e-06,2.077118157702401905e-08
-1.447986129634569262e-06,2.076640345573024657e-08
-1.447586022939450624e-06,2.076137194530274078e-08
-1.447185916244331775e-06,2.075637545005730586e-08
-1.446785809549213137e-06,2.075125931251107692e-08
-1.446385702854094499e-06,2.074603564827309990e-08
-1.445985596158975861e-06,2.074066208883823332e-08
-1.445585489463857011e-06,2.073521367034554891e-08
-1.445185382768738373e-06,2.072971110955493521e-08
-1.444785276073619735e-06,2.072425421019961915e-08
-1.444385169378500885e-06,2.071870189033195705e-08
-1.443985062683382247e-06,2.071279476054279229e-08
-1.443584955988263609e-06,2.070666348001228396e-08
-1.443184849293144971e-06,2.070042621577196882e-08
-1.442784742598026121e-06,2.069414727550134765e-08
-1.442384635902907483e-06,2.068749106770507681e-08
-1.441984529207788845e-06,2.068081950627741285e-08
-1.441584422512669995e-06,2.067428663038514547e-08
-1.441184315817551357e-06,2.066763293193188542e-08
-1.440784209122432719e-06,2.066100954114307716e-08
-1.440384102427314081e-06,2.065436444746002817e-08
-1.439983995732195232e-06,2.064752896660290313e-08
-1.439583889037076594e-06,2.064052894563511074e-08
-1.439183782341957956e-06,2.063339077618491003e-08
-1.438783675646839106e-06,2.062607809567052571e-08
-1.438383568951720468e-06,2.061868082310387419e-08
-1.437983462256601830e-06,2.061119292424557565e-08
-1.437583355561483192e-06,2.060361693007513468e-08
-1.437183248866364342e-06,2.059586083323641800e-08
-1.436783142171245704e-06,2.058813589025934355e-08
-1.436383035476127066e-06,2.058029767801318223e-08
-1.435982928781008216e-06,2.057255245106550666e-08
-1.435582822085889578e-06,2.056484251876627661e-08
-1.435182715390770940e-06,2.055688869050272841e-08
-1.434782608695652302e-06,2.054890209179133535e-08
-1.434382502000533453e-06,2.054086044024511640e-08
-1.433982395305414815e-06,2.053249714015568082e-08
-1.433582288610296177e-06,2.052394202751748695e-08
-1.433182181915177327e-06,2.051520120208667230e-08
-1.432782075220058689e-06,2.050625124385449801e-08
-1.432381968524940051e-06,2.049701778125792090e-08
-1.431981861829821413e-06,2.048776449533204834e-08
-1.431581755134702563e-06,2.047844814015133572e-08
-1.431181648439583925e-06,2.046893376418721034e-08
-1.430781541744465287e-06,2.045946755252743787e-08
-1.430381435049346437e-06,2.045008674086091304e-08
-1.429981328354227799e-06,2.044050908902809922e-08
-1.429581221659109161e-06,2.043074282784824980e-08
-1.429181114963990523e-06,2.042104899593456653e-08
